LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
Albany Park  ,15687,,,,,,,,,,,,15687
Altgeld  ,2734,,,,,,,,,,,,2734
Archer Heights*,7060,,,,,,,,,,,,7060
Austin ,0,,,,,,,,,,,,0
Austin-Irving  ,8619,,,,,,,,,,,,8619
Avalon*,9937,,,,,,,,,,,,9937
Back of the Yards,4342,,,,,,,,,,,,4342
Beverly*,9548,,,,,,,,,,,,9548
Bezazian ,9138,,,,,,,,,,,,9138
Blackstone ,7649,,,,,,,,,,,,7649
Brainerd*,8550,,,,,,,,,,,,8550
Brighton Park ,5574,,,,,,,,,,,,5574
Bucktown-Wicker Park ,9784,,,,,,,,,,,,9784
Budlong Woods*,9138,,,,,,,,,,,,9138
Canaryville ,2763,,,,,,,,,,,,2763
Chicago Bee*,1666,,,,,,,,,,,,1666
Chicago Lawn  ,5367,,,,,,,,,,,,5367
Chinatown ,19195,,,,,,,,,,,,19195
Clearing*,5183,,,,,,,,,,,,5183
Coleman*,7660,,,,,,,,,,,,7660
"Daley, Richard J.-Bridgeport",6327,,,,,,,,,,,,6327
"Daley, Richard M.-W Humboldt*",9969,,,,,,,,,,,,9969
Douglass  ,4685,,,,,,,,,,,,4685
Dunning*,11435,,,,,,,,,,,,11435
Edgebrook ,7389,,,,,,,,,,,,7389
Edgewater  ,15000,,,,,,,,,,,,15000
Gage Park ,3388,,,,,,,,,,,,3388
Galewood-Mont Clare ,1904,,,,,,,,,,,,1904
Garfield Ridge*,5369,,,,,,,,,,,,5369
Greater Grand Crossing*,4942,,,,,,,,,,,,4942
Hall ,4788,,,,,,,,,,,,4788
Harold Washington Library Center*,86746,,,,,,,,,,,,86746
Hegewisch*,4812,,,,,,,,,,,,4812
Humboldt Park*,6942,,,,,,,,,,,,6942
Independence ,0,,,,,,,,,,,,0
Jefferson Park ,6808,,,,,,,,,,,,6808
Jeffery Manor*,5943,,,,,,,,,,,,5943
Kelly*,4613,,,,,,,,,,,,4613
King,5407,,,,,,,,,,,,5407
Legler ,6286,,,,,,,,,,,,6286
Lincoln Belmont*,11358,,,,,,,,,,,,11358
Lincoln Park ,10337,,,,,,,,,,,,10337
Little Village*,8061,,,,,,,,,,,,8061
Logan Square*,12034,,,,,,,,,,,,12034
Lozano,9169,,,,,,,,,,,,9169
Manning*,9992,,,,,,,,,,,,9992
Mayfair  ,4964,,,,,,,,,,,,4964
McKinley Park*,9462,,,,,,,,,,,,9462
Merlo,7775,,,,,,,,,,,,7775
Mount Greenwood*,5363,,,,,,,,,,,,5363
Near North*,10362,,,,,,,,,,,,10362
North Austin  ,0,,,,,,,,,,,,0
North Pulaski  ,4832,,,,,,,,,,,,4832
Northtown ,8171,,,,,,,,,,,,8171
Oriole Park*,7568,,,,,,,,,,,,7568
Portage-Cragin ,6107,,,,,,,,,,,,6107
Pullman ,4560,,,,,,,,,,,,4560
Roden,4856,,,,,,,,,,,,4856
Rogers Park ,10235,,,,,,,,,,,,10235
Roosevelt*,8119,,,,,,,,,,,,8119
Scottsdale  ,4022,,,,,,,,,,,,4022
Sherman Park ,3724,,,,,,,,,,,,3724
South Chicago ,7306,,,,,,,,,,,,7306
South Shore  ,5354,,,,,,,,,,,,5354
Sulzer Regional*,28753,,,,,,,,,,,,28753
Thurgood Marshall*,0,,,,,,,,,,,,0
Toman* ,8175,,,,,,,,,,,,8175
Uptown*,10083,,,,,,,,,,,,10083
Vodak-East Side*,4818,,,,,,,,,,,,4818
Walker ,3516,,,,,,,,,,,,3516
West Belmont ,6303,,,,,,,,,,,,6303
West Chicago Avenue*,5615,,,,,,,,,,,,5615
West Englewood*,7868,,,,,,,,,,,,7868
West Lawn ,5189,,,,,,,,,,,,5189
West Pullman*,8420,,,,,,,,,,,,8420
West Town,8914,,,,,,,,,,,,8914
"Whitney M. Young, Jr. ",0,,,,,,,,,,,,0
Woodson Regional,0,,,,,,,,,,,,0
Wrightwood-Ashburn*,5118,,,,,,,,,,,,5118
